Category,Equipment Type,Item Description,Service/Application,Size/Capacity,Pressure/Class,Body Material,Trim/Impeller Material,End Connection,Operation/Actuation,Key Accessories/Scope,Standards/Testing,Required Documents,Vendor Input (Make/Model),Unit,Estimated Qty,Delivery Location,Remarks
Accessories,Valve Interlock (Key type),Sequence operation safety,Critical Isolation,N/A,N/A,SS/Brass,N/A,Retrofit/Integral,Mechanical,"Lock key set",OEM/Plant standard,"Interlock logic sheet",,,Set,,
Accessories,Position Indicator Beacon,Visual status indication,All actuated valves,N/A,N/A,Polycarbonate,N/A,Top mounted,Visual,"Color coding",OEM standard,"Datasheet",,,Nos,,
Accessories,Flange Gasket Kit,Joint sealing,All flanged valves/pumps,As per flange,As per class,Spiral wound/PTFE,Graphite/PTFE,RF/FF,Passive,"Inner/outer ring",ASME B16.20,"MTC",,,Set,,
Accessories,Stud-Bolt-Nut Set,Flange jointing hardware,All flanged joints,As per flange,As per class,B7/2H/SS,N/A,Flanged,Passive,"Anti-seize paste",ASTM/ASME,"MTC",,,Set,,
Accessories,Strainer (Y/Temporary Cone),Protection of valves/pumps startup,Commissioning/Operation,0.5 in to 24 in,Class 150/300,CS/SS,SS Mesh,Flanged/Threaded,Passive,"Blow-off valve",ASME B16.34,"Mesh size details",,,Nos,,
Accessories,Mechanical Seal Cartridge,Leak prevention for pump shaft,Pumps,As per pump,N/A,SS/Alloy,Carbon/SiC/TC,N/A,Rotary,"Seal plan components",API 682,"Seal qualification",,,Set,,
Accessories,Seal Support System (Plan 52/53),Seal flushing/barrier arrangement,Critical Pumps,N/A,up to 40 bar,SS316,N/A,Tubing connections,Passive/Instrumented,"Reservoir, cooler, instruments",API 682,"Panel GA/P&ID",,,Set,,
Accessories,Flexible Coupling + Guard,Power transmission motor-pump,Pumps,As per rating,N/A,Steel,Elastomer/Metallic,N/A,Mechanical,"Spacer element",AGMA/OEM,"Balancing cert",,,Set,,
Accessories,Baseplate and Foundation Bolts,Skid mounting for pump package,Pumps,As per pump,N/A,CS,N/A,N/A,Passive,"Grouting holes",API 610/OEM,"Baseframe drawing",,,Set,,
Accessories,Pressure Gauge with Root Valve,Local pressure indication,Valve/Pump lines,0-10/0-25 bar,N/A,SS316,SS,NPT/BSP,Manual,"Snubber/siphon as needed",EN 837,"Calibration cert",,,Nos,,
Accessories,Temperature Gauge/Thermowell,Temperature monitoring,Process/Pump,N/A,N/A,SS316,SS316,Threaded/Flanged,Manual,"Wake frequency check",ASME PTC,"Calibration cert",,,Nos,,
Accessories,Vibration Sensor/Transmitter,Pump condition monitoring,Rotating Equipment,N/A,N/A,SS/Aluminium,N/A,Stud/Threaded,4-20 mA,"Cables, junction box",ISO 10816/20816,"Calibration cert",,,Nos,,
Accessories,NRV at Pump Discharge,Backflow prevention at pump outlet,Pump Discharge,As per line,Class 150/300,WCB/SS,SS Disc,Flanged,Self acting,"Bypass arrangement",API 594,"Hydrotest report",,,Nos,,
